Augunas, Kazys
Augunas, Petras
Augustaitis, Jonas
Augustaitis, Pijus
Augustinaitis, Aleksas
Augustinaitis, Stasys
Augustinas, Jonas
Augustinavicius, Augustas
Augustinavicius, Vincas
Augutis, Stasys
Auksciunas, Pranas
Aukstuolis, Jonas
Aukstuolis, Vincas
Aulinskas, Jonas
Ausiura, Juozas Kostas
Ausrota, Jonas
Ausrota, Juozas
Azaravicius, Aleksandras
Azaravicius, Juozas
Azelskas, Vincas
Azukaitis, Juozas
Azukaitis, Vincas
Azuolaitis, Juozas
Babarskis, Jurgis
Babarskis, Petras
Babarskis, Simas
Babeckis, Juozas
Babelis, Bronius
Babenskis, Kazys
Babickas, Kazys
Babickas, Povilas
Babilius, Antanas
Babkauskas, Kazys
Babrauskas, Julius
Babrauskas, Jurgis
Babravicius, Jonas
Babravicius, Kazys
Babravicius, Stasys
Babusis, Antanas
Babusis, Pijus
Babusis, Vincas
Bacanskas, Vladas
Bacelis, Alfonsas
Bacelis, Augustinas
Bacelis, Jonas
Bacevicius, Jonas
Bacevicius, Juozas
Bacevicius, Viktoras Jonas
Bacevicius, Vladas
Bacinskas, Genrikas
Bacinskas, Juozas
Bacinskas, Vincentas
Baciulis, Antanas
Bacius, Jonas
Backis, Antanas
Backus, Antanas
Backus, Juozas
Backys, Petras
Bacvinka, Antanas
Bacys, Juozas
Badaitis, Antanas
Badaitis, Kazys
Badauskas, Kazys
Bagaliunas, Vincas
Bagdanavicius, Antanas
Bagdanavicius, Jonas
Bagdanavicius, Juozas
Bagdanavicius, Motiejus
Bagdanavicius, Stasys
Bagdanskis, Jonas
Bagdanskis, Vincas
Bagdonas, Antanas
Bagdonas, Jonas
Bagdonas, Jurgis
Bagdonas, Kazys
Bagdonas, Klemas
Bagdonas, Petras
Bagdonas, Stasys
Bagdonas, Zenonas
Bagdonavicius, Antanas
Bagdonavicius, Juozas
Bagdonavicius, Stasys
Bagdonavicius, Vytautas
Bagdzevicius, Stasys
Bagdzius, Aleksas
Bagurskis, Juozas
Bagusis, Morkus
Baigys, Pranas
Baika, Kazys
Baikauskas, Bernabas Alfonsas
Baikstys, Pranas
Bajalis, Adolis
Bajarkevicius, Antanas
Bajarskas, Aleksas
Bajarunas, Jonas
Bajoraitis, Ignas
Bajorinas, Juozas
Bajorunas, Stepas
Bakaitis, Jonas
Bakaitis, Petras Vytautas
Bakanauskas, Karolis
Bakanauskas, Simas
Bakas, Antanas
Bakialis, Juozas
Baksys, Jonas
Baksys, Juozas
Bakunas, Petras
Bakunas, Pijus
Balaika, Juozas
Balaika, Petras
Balandis, Vilius
Balasauskas, Jonas
Balbonas, Albertas
Balcaitis, Antanas
Balcas, Balys
Balcas, Stasys
Balcas, Vladas
Balcenas, Petras
Balciauskas, Jonas
Balciauskas, Juozapatas
Balcikonis, Alfonsas
Balcikonis, Antanas
Balcikonis, Juozas
Balcis, Apolinaras
Balciunaitis, Jonas
Balciunaitis, Stasys
Balciunaitis, Vincas
Balciunas, Aleksandras
Balciunas, Alfonsas
Balciunas, Antanas
Balciunas, Balys
Balciunas, Bolius
Balciunas, Bronius
Balciunas, Feliksas
Balciunas, Jonas
Balciunas, Julius
Balciunas, Juozas
Balciunas, Mikas
Balciunas, Petras
Balciunas, Povilas Jurgis
Balciunas, Vytautas
Balcius, Adolfas
Balcius, Antanas
Balcius, Vaclovas
Balcytis, Izidorius
Balcytis, Jonas
Baleisis, Domas
Baleisis, Pranas
Balevicius, Stasys
Balevicius, Vincas
Baliliunas, Pranas
Balionis, Kazys
Baliukevicius, Pranas
Baliulevicius, Aleksas
Baliunas, Domas
Baliunas, Vincas
Balius, Klemas
Balkauskas, Jonas
Balkunas, Petras
Balna, Antanas
Balna, Liudas
Balnanosis, Juozas Jonas Kazys
Balnionis, Kazys
Balsaitis, Antanas
Balsevicius, Antanas
Balsys, Aleksas
Balsys, Antanas
Balsys, Jonas
Balsys, Petras
Balsys, Pranas
Baltaduonis, Antanas
Baltaduonis, Leonas
Baltakis, Juozas
Baltakis, Vincas
Baltakis, Vladas
Baltaragis, Antanas
Baltiejus, Leonas
Baltinas, Povilas
Baltokas, Adolfas
Baltramonaitis, Jonas
Baltrenas, Juozas
Baltrimas, Eduardas,
Baltrimavicius, Antanas
Baltrimavicius, Julijonas
Baltromaitis, Albertas
Baltrukaitis, Juozas
Baltrukonis, Juozas
Baltrukonis, Petras
Baltrunas, Gasparas
Baltrunas, Martynas
Baltrusaitis, Aleksas
Baltrusaitis, Jonas
Baltrusaitis, Juozas
Baltrusaitis, Jurgis
Baltrusaitis, Motiejus
Baltrusaitis, Stasys
Baltrusis, Jonas
Baltrusis, Juozas
Baltrusis, Kazys
Baltrusis, Stasys
Baltrusis-Baltrosevicius, Jonas
Baltuska, Antanas
Baltusnikas, Antanas
Baltusnikas, Jonas
Baltusnikas, Vincas
Baltutis, Jonas
Balulis, Vincas
Balyta, Petras
Balzaras, Petras
Balzeris, Leonas
Banaitis, Jurgis
Banaitis, Kazys
Banaitis, Vytautas
Bandzaitis, Vincas
Bandzevicius, Jonas
Bandzevicius, Jurgis
Bandzevicius, Pranas
Banelis, Antanas
Banelis, Kazys
Banelis, Stasys
Banevicius, Antanas
Banevicius, Juozas
Banevicius, Kazys
Banevicius, Povilas
Banevicius, Pranas
Banevicius, Vincas
Banionis, Antanas
Banionis, Juozas
Banionis, Kazys
Banionis, Matas
Banionis, Motiejus
Baniulis, Alfonsas
Baniulis, Jonas
Baniulis, Julius
Baniulis, Romualdas
Bankas, Isaakas
Bankauskas, Petras
Banuskevicius, Stasys
Banys, Adomas
Banys, Aloizas
Banys, Bronius
Barakauskas, Pranas
Baranauskas, Antanas
Baranauskas, Augustinas
Baranauskas, Jonas
Baranauskas, Juozapas
Baranauskas, Juozas
Baranauskas, Kazys
Baranauskas, Kostas
Baranauskas, Petras
Baranauskas, Povilas
Baranauskas, Pranas
Baranauskas, Viktoras
Baranauskas, Vincas
Barasas, Petras
Baratinskas, Aleksas
Barauskas, Aleksas
Barauskas, Antanas
Barauskas, Bronius
Barauskas, Ignas
Barauskas, Jonas
Barauskas, Juozas
Barauskas, Kazys
Barauskas, Mikas
Barauskas, Petras
Barauskas, Tomas
Barauskas, Zigmas
Baravykas, Gabrys
Baravykas, Petras
Barcius, Jonas
Bardziliauskas, Juozas
Bareikis, Antanas
Bareisis, Juozas
Barisas, Juozas
Barisauskas, Stasys
Barkanas, Chackelis
Barkartas, Pranas
Barkauskas, Adolfas
Barkauskas, Antanas
Barkauskas, Jonas
Barkauskas, Juozas
Barkauskas, Kazys
Barkauskas, Mecislovas
Barkauskas, Pranas
Barkevicius-Kaupaitis, Juozas
Barniskis, Jonas
Baronas, Matas
Barsauskas, Pranas
Barsciauskas, Justinas
Barsciauskas, Vincas
Barsius, Dovydas
Bartasevicius, Aleksas
Bartasevicius, Jonas
Bartasevicius, Juozas
Bartasevicius, Pranas
Bartasiunas, Antanas
Bartasiunas, Jonas
Bartasius, Antanas
Bartininkaitis, Juozas
Bartininkas, Alfonsas Viktoras
Bartininkas, Bronius
Bartkaitis, Antanas Kazys
Bartkaitis, Vincas
Bartkevicius, Juozas
Bartkevicius, Kazys
Bartkevicius, Pranas
Bartkus, Antanas
Bartkus, Jonas
Bartkus, Juozas
Bartkus, Matas
Bartkus, Simas
Bartkus, Stasys
Bartnikas, Vincas
Bartninkas, Juozas
Bartninkas, Vincas
Bartosevicius, Stasys
Bartosis, Petras
Bartoskevicius, Alfonsas
Bartulis, Pranas
Bartusevicius, Antanas
Bartusevicius, Kazys
Bartusevicius, Matas
Bartusevicius, Petras
Bartusevicius, Pranas
Barysas, Motiejus
Barysas, Vladas
Barzda, Antanas
Barzda, Mikas
Barzda, Pranas
Barzda-Bradauskas, Juozas
Barzdaitis, Jonas
Barzdaitis, Kazys
Barzdis, Petras
Basevicius, Jonas
Basinskas, Juozas
Basinskas, Kazys
Baskiras, Efroimas
Baslikovas, Petras
Bastys, Kazys
Bastys, Pranas
Batulevicius-Preskienis, Aleksas
Batura, Juozas
Batura, Kostas
Batutis, Petras
Baubinas, Jonas
Baublys, Antanas
Baublys, Ipolitas
Baublys, Viktoras
Baukus, Petras
Baukys, Juozas
Bauraitis, Jonas
Bausis-Jozeliunas, Alfonsas
Bausys, Aleksandras
Bausys, Alfonsas
Bausys, Karolis
Bautrenas, Petras
Bauza, Antanas
Bauza, Bronius
Bauza, Juozas
Bauzys, Antanas
Bauzys, Jonas
Bauzys, Vincas
Bavarskis, Bronius
Baziliauskas, Antanas
Bebrauskas, Juozas
Bebrauskas, Kazys
Bedalis, Jonas
Bedulskis, Vincas
Beinaravicius, Aleksas
Beinoravicius, Edvardas
Beinoris, Antanas
Beinoris, Kazys
Beinsteinas, Leiba
Beivydas, Antanas
Beivydas, Mykolas
Bekeras, Jonas
Bekeris, Albinas
Bekeris, Juozas
Bekmanas, Teofilius Vilgelmas
Beksa, Andrius
Belenauskas, Ottonas
Belevicius, Vincas
Beliukevicius, Motiejus
Belkevicius, Vincas
Belozaras, Rapolas
Bendaravicius, Antanas
Bendaravicius, Jonas
Bendaravicius, Matas
Bendaravicius, Vincas
Bendinskas, Kazys
Bendoraitis, Andrius
Bendoraitis, Juozas
Bendoraitis, Kazys,
Bendoravicius, Petras
Bendoravicius, Vytautas
Bendorius, Antanas
Bendorius, Juozas
Bendorius, Petras
Bendorius, Vincas
Bendziunas, Pranas
Benekeraitis, Jonas
Benekeraitis, Jurgis
Benesevicius, Cesius Vacys
Benesevicius, Petras
Benesiunas, Andrius
Benesiunas, Vincas
Benetas, Vladas
Benetis, Pranas
Beniulis, Vincas
Beniusis, Jonas
Beniusis, Stepas
Beniusis, Valerijonas
Beniusis-Bauzinskas, Antanas
Bepirstis, Vincas
Berchau, Kazys
Berenis, Jonas
Berenis, Juozas
Berenis, Kazys
Berentas, Jonas
Berentas, Juozas
Berentas, Jurgis
Berestinas, Jonas
Berezinas, Grigorijus
Bergeris, Chaimas
Bergeris, Samuelis
Berkus, Augustas
Bernatavicius, Adomas
Bernatavicius, Aleksas
Berneckis, Jonas
Bernikeris, Jokubas
Bernikeris, Richardas
Berniunas, Jurgis
Bernota, Vincas
Bernotaitis, Juozas
Bernotaitis, Viktoras
Bernotas, Antanas
Bernotas, Juozas
Bernotas, Kazys
Bernotas, Petras
Bernotas, Pranas
Bernotas, Stasys
Bernotas, Vincas
Bernotavicius, Antanas
Bernotavicius, Bronius
Bernotavicius, Juozas
Berskis, Antanas
Bertasius, Juozas
Bertasius, Jurgis
Berteska, Jonas
Berteska, Juozas
Bertulis, Kazys
Bertulis, Leonardas
Bertulis, Stasys
Bertulis, Viktoras
Berukstis, Juozas
Berukstis, Vincas
Berzanskis, Kazimieras
Berzinis, Andrius
Berzinis, Klemensas
Berzinis, Leonardas
Berzinskas, Bronius
Berzinskas, Viktoras
Berzinskas, Vincas
Berzinskis, Baltrus
Berzvinskas, Juozas
Besasparis, Jonas
Betkauskas, Juozas
Bezaras, Juozas
Bickauskas, Anicetas
Bickauskas, Benediktas
Bickus, Izidorius
Bicukas, Viktoras
Bidva, Kazys
Bidva, Vladas
Bieksa, Laurynas
Bielasauskas, Antanas
Bieleskevicius, Petras
Bielevicius, Jonas
Bieliauskas, Domas
Bieliauskas, Juozas
Bieliauskas, Kazys
Bieliauskas, Stasys
Bieliauskas, Vilius
Bieliauskas, Vladas
Bielinis, Jonas
Bielinskas, Vladas
Bieliuskevicius, Jonas
Bielkevicius, Antanas
Bielskis, Juozas
Bielskis, Pranas
Bielskis, Vytautas
Bielskus, Stasys
Bigelis, Jonas
Bijeika, Vincas
Bikauskas, Kazys
Bikauskas, Vincas
Bikeris-Bikeraitis, Stasys
Bikinas, Kazys
Biknaitis, Antanas
Bikulcius, Jonas
Bikulcius, Stasys
Bikulcius-Cerniauskas, Petras
Bilevicius, Benediktas
Bilinskas, Stepas
Biliunas, Adomas
